data_pull_date,meet_name,meet_date,competitor_1_name,competitor_1_odds,competitor_2_name,competitor_2_odds
2023-09-16,Oktagon,2023-09-16,Deniz Ilbay,1/2,Marco Novak,6/4
2023-09-16,Oktagon,2023-09-16,Frantisek Fodor,17/10,Vladimir Sikic,9/20
2023-09-16,Oktagon,2023-09-16,Zoran Solaja,4/5,Daniel Hromek,10/11
2023-09-16,Oktagon,2023-09-16,Niko Samsonidse,11/50,Nicolae Hantea,31/10
2023-09-16,Oktagon,2023-09-16,Kerim Engizek,1/10,Matias Juarez,6/1
2023-09-16,Oktagon,2023-09-16,Mohamed Grabinski,5/4,Leandro Silva,3/5
2023-09-16,Oktagon,2023-09-16,Christian Jungwirth,3/10,John Palaiologes,12/5
2023-09-16,Oktagon,2023-09-16,David Kozma,11/20,Bojan Velickovic,13/10
2023-09-16,Oktagon,2023-09-16,Katharina Dalisda,4/6,Jacinta Austin,23/20
2023-09-16,Oktagon,2023-09-16,Louis Glismann,4/6,Andreas Michailidis,21/20
2023-09-16,KSW 86,2023-09-16,Oskar Szczepaniak,7/10,Adrian Gralak,11/10
2023-09-16,KSW 86,2023-09-16,Mariusz Joniak,2/5,Miljan Zdravkovic,9/5
2023-09-16,KSW 86,2023-09-16,Filip Stawowy,6/5,Viktor Pesta,13/20
2023-09-16,KSW 86,2023-09-16,Damian Piwowarczyk,3/5,Lukasz Sudolski,13/10
2023-09-16,KSW 86,2023-09-16,Kecper Koziorzebski,13/20,Wiktor Zalewski,23/20
2023-09-16,KSW 86,2023-09-16,Artur Szczepaniak,13/20,Henry Fadipe,23/20
2023-09-16,KSW 86,2023-09-16,Lom-Ali Eskijew,3/4,Dawid Smielowski,21/20
2023-09-16,KSW 86,2023-09-16,Michal Michalski,9/5,Dominik Humburger,5/12
2023-09-16,KSW 86,2023-09-16,Jakub Wiklacz,13/20,Sebastian Przybysz,23/20
2023-09-16,UFC Fight Night 227,2023-09-16,Josefine Knutsson,1/6,Marnic Mann,9/2
2023-09-16,UFC Fight Night 227,2023-09-16,Alex Reyes,10/3,Charlie Campbell,2/9
2023-09-16,UFC Fight Night 227,2023-09-16,Tracy Cortez,8/11,Jasmine Jasudavicius,1/1
2023-09-16,UFC Fight Night 227,2023-09-16,Edgar Chairez,2/5,Daniel Lacerda,15/8
2023-09-16,UFC Fight Night 227,2023-09-16,Roman Kopylov,2/7,Josh Fremd,5/2
2023-09-16,UFC Fight Night 227,2023-09-16,Loopy Godinez,1/5,Elise Reed,7/2
2023-09-16,UFC Fight Night 227,2023-09-16,Fernando Padilla,2/5,Kyle Nelson,2/1
2023-09-16,UFC Fight Night 227,2023-09-16,Daniel Zellhuber,1/3,Christos Giagos,9/4
2023-09-16,UFC Fight Night 227,2023-09-16,Raul Rosas Jr.,1/8,Terrence Mitchell,5/1
2023-09-16,UFC Fight Night 227,2023-09-16,Kevin Holland,6/5,Jack Della Maddalena,4/6
2023-09-16,UFC Fight Night 227,2023-09-16,Alexa Grasso,11/8,Valentina Shevchenko,4/7
2023-09-16,UFC Fight Night 228,2023-09-23,Tim Means,17/10,Andre Fialho,1/2
2023-09-16,UFC Fight Night 228,2023-09-23,Daniel Argueta,5/12,Miles Johns,9/5
2023-09-16,UFC Fight Night 228,2023-09-23,Ricardo Ramos,19/20,Charles Jourdain,4/5
2023-09-16,UFC Fight Night 228,2023-09-23,Bryan Battle,1/2,AJ Fletcher,13/8
2023-09-16,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-16,UFC Fight Night 228,2023-09-23,Bryce Mitchell,7/10,Dan Ige,21/20
2023-09-16,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/11,Mateusz Gamrot,11/10
2023-09-16,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-16,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-16,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-16,UFC Fight Night 230,2023-11-04,Curtis Blaydes,2/1,Jailton Almeida,2/5
2023-09-16,UFC 295,2023-11-12,Jon Jones,3/10,Stipe Miocic,5/2
2023-09-17,UFC Fight Night 228,2023-09-23,Tim Means,17/10,Andre Fialho,1/2
2023-09-17,UFC Fight Night 228,2023-09-23,Daniel Argueta,4/9,Miles Johns,13/8
2023-09-17,UFC Fight Night 228,2023-09-23,Ricardo Ramos,19/20,Charles Jourdain,4/5
2023-09-17,UFC Fight Night 228,2023-09-23,Bryan Battle,1/2,AJ Fletcher,13/8
2023-09-17,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-17,UFC Fight Night 228,2023-09-23,Bryce Mitchell,7/10,Dan Ige,21/20
2023-09-17,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/11,Mateusz Gamrot,11/10
2023-09-17,UFC Fight Night 230,2023-11-04,Curtis Blaydes,2/1,Jailton Almeida,2/5
2023-09-17,UFC 295,2023-11-12,Jon Jones,3/10,Stipe Miocic,5/2
2023-09-18,UFC Fight Night 228,2023-09-23,Montserrat Rendon,2/1,Tamires Vidal,2/5
2023-09-18,UFC Fight Night 228,2023-09-23,Mizuki Inoue,3/10,Hannah Goldy,5/2
2023-09-18,UFC Fight Night 228,2023-09-23,Mohammed Usman,4/6,Jake Collier,6/5
2023-09-18,UFC Fight Night 228,2023-09-23,Jacob Malkoun,1/5,Cody Brundage,7/2
2023-09-18,UFC Fight Night 228,2023-09-23,Tim Means,17/10,Andre Fialho,1/2
2023-09-18,UFC Fight Night 228,2023-09-23,Daniel Argueta,8/15,Miles Johns,6/4
2023-09-18,UFC Fight Night 228,2023-09-23,Ricardo Ramos,6/5,Charles Jourdain,4/6
2023-09-18,UFC Fight Night 228,2023-09-23,Bryan Battle,8/15,AJ Fletcher,6/4
2023-09-18,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-18,UFC Fight Night 228,2023-09-23,Bryce Mitchell,1/2,Dan Ige,13/8
2023-09-18,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/13,Mateusz Gamrot,5/4
2023-09-18,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-18,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-18,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-18,UFC Fight Night 230,2023-11-04,Curtis Blaydes,2/1,Jailton Almeida,2/5
2023-09-18,UFC 295,2023-11-12,Jon Jones,3/10,Stipe Miocic,5/2
2023-09-19,UFC Fight Night 228,2023-09-23,Montserrat Rendon,2/1,Tamires Vidal,2/5
2023-09-19,UFC Fight Night 228,2023-09-23,Mizuki Inoue,1/3,Hannah Goldy,9/4
2023-09-19,UFC Fight Night 228,2023-09-23,Mohammed Usman,4/6,Jake Collier,6/5
2023-09-19,UFC Fight Night 228,2023-09-23,Jacob Malkoun,1/5,Cody Brundage,7/2
2023-09-19,UFC Fight Night 228,2023-09-23,Tim Means,17/10,Andre Fialho,1/2
2023-09-19,UFC Fight Night 228,2023-09-23,Daniel Argueta,8/15,Miles Johns,6/4
2023-09-19,UFC Fight Night 228,2023-09-23,Ricardo Ramos,6/5,Charles Jourdain,4/6
2023-09-19,UFC Fight Night 228,2023-09-23,Bryan Battle,8/15,AJ Fletcher,6/4
2023-09-19,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-19,UFC Fight Night 228,2023-09-23,Bryce Mitchell,1/2,Dan Ige,13/8
2023-09-19,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/13,Mateusz Gamrot,5/4
2023-09-19,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-19,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-19,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-19,UFC Fight Night 230,2023-11-04,Curtis Blaydes,2/1,Jailton Almeida,2/5
2023-09-19,UFC 295,2023-11-12,Jon Jones,3/10,Stipe Miocic,5/2
2023-09-20,UFC Fight Night 228,2023-09-23,Montserrat Rendon,2/1,Tamires Vidal,2/5
2023-09-20,UFC Fight Night 228,2023-09-23,Mizuki Inoue,1/3,Hannah Goldy,9/4
2023-09-20,UFC Fight Night 228,2023-09-23,Mohammed Usman,3/5,Jake Collier,6/5
2023-09-20,UFC Fight Night 228,2023-09-23,Jacob Malkoun,1/5,Cody Brundage,7/2
2023-09-20,UFC Fight Night 228,2023-09-23,Tim Means,6/4,Andre Fialho,8/15
2023-09-20,UFC Fight Night 228,2023-09-23,Daniel Argueta,8/15,Miles Johns,6/4
2023-09-20,UFC Fight Night 228,2023-09-23,Ricardo Ramos,6/5,Charles Jourdain,4/6
2023-09-20,UFC Fight Night 228,2023-09-23,Bryan Battle,4/9,AJ Fletcher,13/8
2023-09-20,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-20,UFC Fight Night 228,2023-09-23,Bryce Mitchell,4/9,Dan Ige,7/4
2023-09-20,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/13,Mateusz Gamrot,5/4
2023-09-20,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-20,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-20,UFC Fight Night 229,2023-10-07,Aoriqileng,4/5,Johnny Munoz Jr,19/20
2023-09-20,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-20,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-20,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-20,UFC Fight Night 229,2023-10-07,Philipe Lins,4/5,Ion Cutelaba,1/1
2023-09-20,UFC Fight Night 229,2023-10-07,Drew Dober,3/10,Ricky Glenn,13/5
2023-09-20,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-20,UFC Fight Night 229,2023-10-07,Joseph Pyfer,13/40,Abdul Razak Alhassan,12/5
2023-09-20,UFC Fight Night 229,2023-10-07,Grant Dawson,13/40,Bobby Green,12/5
2023-09-20,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-20,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-20,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-20,UFC Fight Night 230,2023-11-04,Curtis Blaydes,8/5,Jailton Almeida,1/2
2023-09-20,UFC 295,2023-11-12,Jon Jones,11/50,Stipe Miocic,3/1
2023-09-21,UFC Fight Night 228,2023-09-23,Montserrat Rendon,7/4,Tamires Vidal,4/9
2023-09-21,UFC Fight Night 228,2023-09-23,Mizuki Inoue,3/10,Hannah Goldy,12/5
2023-09-21,UFC Fight Night 228,2023-09-23,Mohammed Usman,4/6,Jake Collier,11/10
2023-09-21,UFC Fight Night 228,2023-09-23,Jacob Malkoun,1/6,Cody Brundage,4/1
2023-09-21,UFC Fight Night 228,2023-09-23,Tim Means,6/4,Andre Fialho,8/15
2023-09-21,UFC Fight Night 228,2023-09-23,Daniel Argueta,8/15,Miles Johns,6/4
2023-09-21,UFC Fight Night 228,2023-09-23,Ricardo Ramos,11/10,Charles Jourdain,8/11
2023-09-21,UFC Fight Night 228,2023-09-23,Bryan Battle,4/9,AJ Fletcher,13/8
2023-09-21,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-21,UFC Fight Night 228,2023-09-23,Bryce Mitchell,1/2,Dan Ige,13/8
2023-09-21,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/13,Mateusz Gamrot,5/4
2023-09-21,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-21,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-21,UFC Fight Night 229,2023-10-07,Aoriqileng,4/5,Johnny Munoz Jr,19/20
2023-09-21,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-21,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-21,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-21,UFC Fight Night 229,2023-10-07,Philipe Lins,4/5,Ion Cutelaba,1/1
2023-09-21,UFC Fight Night 229,2023-10-07,Drew Dober,3/10,Ricky Glenn,13/5
2023-09-21,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-21,UFC Fight Night 229,2023-10-07,Joseph Pyfer,13/40,Abdul Razak Alhassan,12/5
2023-09-21,UFC Fight Night 229,2023-10-07,Grant Dawson,13/40,Bobby Green,12/5
2023-09-21,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-21,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-21,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-21,UFC Fight Night 230,2023-11-04,Curtis Blaydes,8/5,Jailton Almeida,1/2
2023-09-21,UFC 295,2023-11-12,Jon Jones,11/50,Stipe Miocic,3/1
2023-09-23,UFC Fight Night 228,2023-09-23,Mizuki Inoue,3/10,Hannah Goldy,12/5
2023-09-23,UFC Fight Night 228,2023-09-23,Mohammed Usman,4/6,Jake Collier,11/10
2023-09-23,UFC Fight Night 228,2023-09-23,Jacob Malkoun,1/6,Cody Brundage,4/1
2023-09-23,UFC Fight Night 228,2023-09-23,Tim Means,6/4,Andre Fialho,8/15
2023-09-23,UFC Fight Night 228,2023-09-23,Daniel Argueta,8/15,Miles Johns,6/4
2023-09-23,UFC Fight Night 228,2023-09-23,Ricardo Ramos,11/10,Charles Jourdain,8/11
2023-09-23,UFC Fight Night 228,2023-09-23,Bryan Battle,8/15,AJ Fletcher,6/4
2023-09-23,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-23,UFC Fight Night 228,2023-09-23,Bryce Mitchell,4/9,Dan Ige,7/4
2023-09-23,UFC Fight Night 228,2023-09-23,Rafael Fiziev,8/13,Mateusz Gamrot,5/4
2023-09-23,Bellator 299,2023-09-23,Sinead Kavanagh,4/7,Sara Collins,5/4
2023-09-23,Bellator 299,2023-09-23,Aaron Pico,1/14,Pedro Carvalho,7/1
2023-09-23,Bellator 299,2023-09-23,Johnny Eblen,1/5,Fabian Edwards,10/3
2023-09-23,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-23,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-23,UFC Fight Night 229,2023-10-07,Aoriqileng,4/5,Johnny Munoz Jr,19/20
2023-09-23,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-23,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-23,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-23,UFC Fight Night 229,2023-10-07,Philipe Lins,4/5,Ion Cutelaba,1/1
2023-09-23,UFC Fight Night 229,2023-10-07,Drew Dober,3/10,Ricky Glenn,13/5
2023-09-23,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-23,UFC Fight Night 229,2023-10-07,Joseph Pyfer,13/40,Abdul Razak Alhassan,12/5
2023-09-23,UFC Fight Night 229,2023-10-07,Grant Dawson,13/40,Bobby Green,12/5
2023-09-23,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-23,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-23,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-23,UFC Fight Night 230,2023-11-04,Curtis Blaydes,8/5,Jailton Almeida,1/2
2023-09-23,UFC 295,2023-11-12,Jon Jones,11/50,Stipe Miocic,3/1
2023-09-25,Rizin Landmark 6,2023-09-30,Ayaka Watanabe,6/4,Machi Fukuda,1/2
2023-09-25,Rizin Landmark 6,2023-09-30,Genji Umeno,1/6,Yuto Saito,7/2
2023-09-25,Rizin Landmark 6,2023-09-30,Hideo Tokoro,3/1,Alan Yoshihiro Yamaniha,2/9
2023-09-25,Rizin Landmark 6,2023-09-30,Igor Tanabe,1/20,Koji Shikuwa,7/1
2023-09-25,Rizin Landmark 6,2023-09-30,Joji Goto,5/6,Junya Hibino,5/6
2023-09-25,Rizin Landmark 6,2023-09-30,Kohei Tokeshi,11/5,Yusaku Inoue,3/10
2023-09-25,Rizin Landmark 6,2023-09-30,Satoshi Kamiyama,2/1,Hidetaka Arato,1/3
2023-09-25,Rizin Landmark 6,2023-09-30,Shinobu Ota,1/2,Shoko Sato,6/4
2023-09-25,Rizin Landmark 6,2023-09-30,Viktor Kolesnik,4/11,Ryo Takagi,15/8
2023-09-25,Rizin Landmark 6,2023-09-30,Yuki Ito,2/5,Topnoi Kiwram,7/4
2023-09-25,Rizin Landmark 6,2023-09-30,Yusaku Nakamura,4/7,Yusaku Nakamura,5/4
2023-09-25,Rizin Landmark 6,2023-09-30,Yutaro Muramoto,11/8,Rogerio Bontorin,8/15
2023-09-25,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-25,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-25,UFC Fight Night 229,2023-10-07,Aoriqileng,4/5,Johnny Munoz Jr,19/20
2023-09-25,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-25,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-25,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-25,UFC Fight Night 229,2023-10-07,Philipe Lins,4/5,Ion Cutelaba,1/1
2023-09-25,UFC Fight Night 229,2023-10-07,Drew Dober,3/10,Ricky Glenn,13/5
2023-09-25,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-25,UFC Fight Night 229,2023-10-07,Joseph Pyfer,13/40,Abdul Razak Alhassan,12/5
2023-09-25,UFC Fight Night 229,2023-10-07,Grant Dawson,13/40,Bobby Green,12/5
2023-09-25,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-25,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-25,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-25,UFC Fight Night 230,2023-11-04,Curtis Blaydes,8/5,Jailton Almeida,1/2
2023-09-25,UFC 295,2023-11-12,Jon Jones,11/50,Stipe Miocic,3/1
2023-09-26,Contender Series 2023 : Week 8,2023-09-26,Alexander Soldatkin,13/50,Mario Piazzon,29/10
2023-09-26,Contender Series 2023 : Week 8,2023-09-26,Angel Pacheco,9/5,Danny Silva,5/12
2023-09-26,Contender Series 2023 : Week 8,2023-09-26,Carli Judice,23/40,Ernesta Kareckaite,7/5
2023-09-26,Contender Series 2023 : Week 8,2023-09-26,Danny Barlow,19/20,Raheam Forest,4/5
2023-09-26,Contender Series 2023 : Week 8,2023-09-26,Vincius de Oliveira,3/10,Victor Madrigal,5/2
2023-09-26,Rizin Landmark 6,2023-09-30,Ayaka Watanabe,6/4,Machi Fukuda,1/2
2023-09-26,Rizin Landmark 6,2023-09-30,Genji Umeno,1/6,Yuto Saito,7/2
2023-09-26,Rizin Landmark 6,2023-09-30,Hideo Tokoro,3/1,Alan Yoshihiro Yamaniha,2/9
2023-09-26,Rizin Landmark 6,2023-09-30,Igor Tanabe,1/20,Koji Shikuwa,7/1
2023-09-26,Rizin Landmark 6,2023-09-30,Joji Goto,7/10,Junya Hibino,1/1
2023-09-26,Rizin Landmark 6,2023-09-30,Kohei Tokeshi,11/5,Yusaku Inoue,3/10
2023-09-26,Rizin Landmark 6,2023-09-30,Satoshi Kamiyama,2/1,Hidetaka Arato,1/3
2023-09-26,Rizin Landmark 6,2023-09-30,Shinobu Ota,1/2,Shoko Sato,6/4
2023-09-26,Rizin Landmark 6,2023-09-30,Viktor Kolesnik,4/11,Ryo Takagi,15/8
2023-09-26,Rizin Landmark 6,2023-09-30,Yuki Ito,2/5,Topnoi Kiwram,7/4
2023-09-26,Rizin Landmark 6,2023-09-30,Yusaku Nakamura,4/7,Yusaku Nakamura,5/4
2023-09-26,Rizin Landmark 6,2023-09-30,Yutaro Muramoto,11/8,Rogerio Bontorin,8/15
2023-09-26,Oktagon 47,2023-10-07,Veronika Smolkova,3/4,Eleni Mytilinaki,1/1
2023-09-26,Oktagon 47,2023-10-07,Adam Palasz,11/20,Sofiane Boukichou,7/5
2023-09-26,Oktagon 47,2023-10-07,Lukasz Siwiec,1/1,Amiran Gogoladze,7/10
2023-09-26,Oktagon 47,2023-10-07,Marek Mazuch,13/20,Jamie Cordero,11/10
2023-09-26,Oktagon 47,2023-10-07,Mateusz Legierski,13/40,Karol Rysavy,11/5
2023-09-26,Oktagon 47,2023-10-07,Robert Pukac,21/20,Matous Kohout,27/40
2023-09-26,Oktagon 47,2023-10-07,Vlasto Cepo,7/25,Ahmed Sami,13/5
2023-09-26,Oktagon 47,2023-10-07,Ivan Buchinger,7/25,Jakub Dohnal,13/5
2023-09-26,Oktagon 47,2023-10-07,Karlos Vemola,13/20,Pavol Langer,11/10
2023-09-26,Oktagon 47,2023-10-07,Gustavo Lopez,11/50,Beno Adamia,13/4
2023-09-26,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-26,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-26,UFC Fight Night 229,2023-10-07,Aoriqileng,8/11,Johnny Munoz Jr,1/1
2023-09-26,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-26,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-26,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-26,UFC Fight Night 229,2023-10-07,Philipe Lins,11/10,Ion Cutelaba,8/11
2023-09-26,UFC Fight Night 229,2023-10-07,Drew Dober,1/4,Ricky Glenn,3/1
2023-09-26,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-26,UFC Fight Night 229,2023-10-07,Joseph Pyfer,13/40,Abdul Razak Alhassan,12/5
2023-09-26,UFC Fight Night 229,2023-10-07,Grant Dawson,1/4,Bobby Green,11/4
2023-09-26,UFC Fight Night 229,2023-10-07,Sodiq Yusuff,21/40,Edson Barboza,8/5
2023-09-26,Bellator 300,2023-10-07,Liz Camouche,1/2,Llima- Lei Macfarlane,6/4
2023-09-26,Bellator 300,2023-10-07,Ryan Bader,1/2,Linton Vassell,6/4
2023-09-26,Bellator 300,2023-10-07,Cristiane Justino,9/50,Cat Zingano,39/10
2023-09-26,Bellator 300,2023-10-07,Usman Nurmagomedov,2/25,Brent Primus,29/4
2023-09-26,KSW 87,2023-10-14,Darko Stosic,17/50,Michal Martinek,11/5
2023-09-26,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-26,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-26,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-26,UFC Fight Night 230,2023-11-04,Curtis Blaydes,8/5,Jailton Almeida,1/2
2023-09-26,UFC 295,2023-11-12,Jon Jones,11/50,Stipe Miocic,3/1
2023-09-27,Rizin Landmark 6,2023-09-30,Ayaka Watanabe,6/4,Machi Fukuda,1/2
2023-09-27,Rizin Landmark 6,2023-09-30,Genji Umeno,1/6,Yuto Saito,7/2
2023-09-27,Rizin Landmark 6,2023-09-30,Hideo Tokoro,3/1,Alan Yoshihiro Yamaniha,2/9
2023-09-27,Rizin Landmark 6,2023-09-30,Igor Tanabe,1/20,Koji Shikuwa,7/1
2023-09-27,Rizin Landmark 6,2023-09-30,Joji Goto,7/10,Junya Hibino,1/1
2023-09-27,Rizin Landmark 6,2023-09-30,Kohei Tokeshi,11/5,Yusaku Inoue,3/10
2023-09-27,Rizin Landmark 6,2023-09-30,Satoshi Kamiyama,2/1,Hidetaka Arato,1/3
2023-09-27,Rizin Landmark 6,2023-09-30,Shinobu Ota,1/2,Shoko Sato,6/4
2023-09-27,Rizin Landmark 6,2023-09-30,Viktor Kolesnik,4/11,Ryo Takagi,15/8
2023-09-27,Rizin Landmark 6,2023-09-30,Yuki Ito,2/5,Topnoi Kiwram,7/4
2023-09-27,Rizin Landmark 6,2023-09-30,Yusaku Nakamura,4/7,Yusaku Nakamura,5/4
2023-09-27,Rizin Landmark 6,2023-09-30,Yutaro Muramoto,11/8,Rogerio Bontorin,8/15
2023-09-27,Oktagon 47,2023-10-07,Veronika Smolkova,3/4,Eleni Mytilinaki,1/1
2023-09-27,Oktagon 47,2023-10-07,Adam Palasz,11/20,Sofiane Boukichou,7/5
2023-09-27,Oktagon 47,2023-10-07,Lukasz Siwiec,1/1,Amiran Gogoladze,7/10
2023-09-27,Oktagon 47,2023-10-07,Gustavo Lopez,11/50,Beno Adamia,13/4
2023-09-27,Oktagon 47,2023-10-07,Marek Mazuch,13/20,Jamie Cordero,11/10
2023-09-27,Oktagon 47,2023-10-07,Mateusz Legierski,13/40,Karol Rysavy,11/5
2023-09-27,Oktagon 47,2023-10-07,Robert Pukac,21/20,Matous Kohout,27/40
2023-09-27,Oktagon 47,2023-10-07,Vlasto Cepo,7/25,Ahmed Sami,13/5
2023-09-27,Oktagon 47,2023-10-07,Ivan Buchinger,7/25,Jakub Dohnal,13/5
2023-09-27,Oktagon 47,2023-10-07,Karlos Vemola,13/20,Pavol Langer,11/10
2023-09-27,UFC Fight Night 229,2023-10-07,Montana De La Rosa,1/2,Stephanie Eggar,8/5
2023-09-27,UFC Fight Night 229,2023-10-07,Nate Maness,19/10,Mateus Mendonca,2/5
2023-09-27,UFC Fight Night 229,2023-10-07,Aoriqileng,8/11,Johnny Munoz Jr,1/1
2023-09-27,UFC Fight Night 229,2023-10-07,Chris Gutierrez,8/5,Montel Jackson,1/2
2023-09-27,UFC Fight Night 229,2023-10-07,Karolina Kowalkiewicz,3/5,Diana Belbita,27/20
2023-09-27,UFC Fight Night 229,2023-10-07,Alexander Hernandez,11/10,Bill Algeo,7/10
2023-09-27,UFC Fight Night 229,2023-10-07,Philipe Lins,11/10,Ion Cutelaba,8/11
2023-09-27,UFC Fight Night 229,2023-10-07,Drew Dober,1/4,Ricky Glenn,3/1
2023-09-27,UFC Fight Night 229,2023-10-07,Alex Morono,7/5,Joaquin Buckley,11/20
2023-09-27,UFC Fight Night 229,2023-10-07,Joseph Pyfer,1/4,Abdul Razak Alhassan,11/4
2023-09-27,UFC Fight Night 229,2023-10-07,Grant Dawson,1/4,Bobby Green,11/4
